code,year_,freq,ITEM7210,ITEM7220,ITEM7230,ITEM7240,ITEM7250,ITEM5601,ITEM6001
129809,2016,A,1209340000,,,,,DELL,DELL TECHNOLOGIES INC
129809,2017,A,1869440000,,,,,DELL,DELL TECHNOLOGIES INC
129809,2018,A,8405640000,,,,,DELL,DELL TECHNOLOGIES INC
129809,2019,A,13155840000,,,,,DELL,DELL TECHNOLOGIES INC
137943,2011,A,,8917000000,44533000000,62071000000,3492000000,DELL,DELL TECHNOLOGIES INC
137943,2012,A,,10701000000,47540000000,56940000000,2372000000,DELL,DELL TECHNOLOGIES INC
137943,2013,A,,4014000000,51153000000,56377000000,-1705000000,DELL,DELL TECHNOLOGIES INC
137943,2014,A,,8607950000,48192000000,58119000000,-1221000000,DELL,DELL TECHNOLOGIES INC
137943,2015,A,,1466000000,45250000000,54886000000,-1104000000,DELL,DELL TECHNOLOGIES INC
137943,2016,A,42766660000,13243000000,118206000000,61642000000,-1672000000,DELL,DELL TECHNOLOGIES INC
137943,2017,A,62504320000,9326000000,122281000000,79929000000,-3728000000,DELL,DELL TECHNOLOGIES INC
137943,2018,A,35137530000,-5765000000,111820000000,91324000000,-2310000000,DELL,DELL TECHNOLOGIES INC
137943,2019,A,38182770000,-1574000000,118861000000,92154000000,4616000000,DELL,DELL TECHNOLOGIES INC
